Temperature,Humidity,Solar_Radiation,Temperature_Pred,Humidity_Pred,Solar_Radiation_Pred
25.7,86.9,0.0,26.060019,86.53224,0.21801725
34.0,55.1,740.0,33.59206,58.380646,767.2454
26.3,82.0,103.0,26.530563,81.37132,107.31656
28.6,78.3,0.0,28.769636,77.6224,0.51007354
30.4,72.3,566.0,30.05327,72.81589,565.46936
24.3,90.8,0.0,24.247011,90.70401,0.0
26.0,83.6,0.0,25.936934,83.830185,0.41090083
25.5,84.7,0.0,25.421192,84.6604,0.40787318
26.2,82.6,0.0,26.242025,82.36589,0.41090083
31.5,62.4,612.0,31.57956,62.68995,606.0263
25.2,88.8,0.0,25.09285,88.84896,0.0
27.7,80.6,0.0,27.805454,79.23908,0.0
29.4,73.3,33.0,29.338,74.36534,38.500328
25.9,86.7,0.0,26.060019,86.53224,0.21801725
27.6,81.2,0.0,27.780222,81.22913,16.886019
26.7,80.6,0.0,26.702045,79.28002,2.4770012
31.9,62.4,753.0,31.965755,62.589504,764.2939
28.1,79.5,0.0,27.947279,79.10191,0.51007354
29.5,79.0,126.0,30.10341,76.30291,107.15734
25.4,84.4,3.0,25.421192,84.6604,0.40787318
27.1,75.7,0.0,27.225002,76.24393,0.51007354
27.7,77.2,0.0,27.78256,77.72904,0.41090083
31.1,69.0,819.0,31.341898,67.52157,783.85785
31.5,57.4,687.0,31.594418,58.961998,617.56995
28.3,81.3,0.0,28.321175,80.36288,0.51007354
26.1,84.1,0.0,26.491589,82.40181,0.41090083
31.2,67.0,700.0,31.133663,67.38172,740.9454
28.1,81.8,91.0,28.554487,80.261086,177.52002
28.8,75.3,0.0,28.75887,76.041145,0.35721147
26.7,77.4,0.0,26.823572,76.75223,0.51007354
26.9,79.7,0.0,26.678745,80.768654,0.41090083
29.9,71.8,401.0,29.471115,73.32038,387.8452
25.7,88.8,0.0,25.65942,89.09737,0.21801725
28.7,77.9,0.0,28.746798,77.03678,0.51007354
26.5,82.6,0.0,26.550495,82.482185,0.48411292
32.8,62.6,714.0,32.652637,61.21165,718.49927
35.0,59.3,700.0,34.44618,60.638893,681.69806
26.7,83.0,0.0,26.860348,82.525894,0.47146934
27.4,78.8,0.0,27.462597,79.36492,0.41090083
31.1,59.9,633.0,31.43231,59.804356,613.57385
27.6,78.2,0.0,27.576616,78.017426,0.41324252
23.9,91.5,15.0,24.03721,91.35148,17.781137
28.9,78.0,5.0,29.052588,77.19482,11.072199
28.5,77.6,0.0,28.744331,76.25955,2.6081996
25.3,86.2,0.0,25.261831,86.32856,0.85745895
28.6,77.3,0.0,28.642044,76.6173,0.51007354
24.7,90.5,175.0,24.815807,89.882454,176.08015
27.2,80.0,0.0,27.49655,79.12418,0.41090083
28.8,79.8,0.0,28.811798,79.86425,0.0
31.7,58.6,684.0,31.467089,59.474274,626.86334
26.1,79.3,49.0,26.190088,78.977295,29.921673
26.0,82.8,0.0,26.234762,82.40006,0.20018324
28.7,79.7,0.0,28.712988,79.44381,0.0
26.9,81.0,0.0,26.727036,82.08938,0.41090083
27.8,80.6,0.0,27.759275,79.43739,0.0
32.5,57.3,592.0,32.377647,61.589012,643.72687
26.6,84.6,0.0,26.620533,83.84817,0.51007354
26.4,83.0,0.0,26.29044,83.06525,0.11884443
28.5,79.8,79.0,28.785027,77.55591,131.36838
26.2,82.8,0.0,26.242025,82.71885,0.41090083
31.8,67.3,782.0,31.430025,67.242195,784.37695
27.6,80.5,0.0,27.748055,79.31012,0.41090083
30.4,72.1,629.0,30.164053,71.928474,592.5239
26.9,77.2,0.0,26.676643,78.213745,2.4770012
29.3,74.4,649.0,29.132996,74.893295,537.839
29.8,72.0,0.0,29.544807,72.70404,5.9339643
31.5,64.9,774.0,31.542526,65.33138,779.952
26.7,83.0,0.0,26.860348,82.525894,0.47146934
34.0,62.3,666.0,33.774845,61.068897,678.7363
30.8,70.3,439.0,30.825258,70.90142,430.6364
32.0,60.3,596.0,31.6001,62.430866,581.0554
24.0,87.6,175.0,24.020771,88.1754,138.01797
25.2,87.8,0.0,25.276785,87.458084,0.48411292
32.3,65.7,775.0,31.565538,67.17321,785.3148
30.6,69.6,826.0,30.39074,70.10274,755.93726
26.5,85.4,0.0,26.508207,84.60266,1.6754454
33.8,49.9,719.0,33.832333,50.837784,727.56146
31.3,63.4,520.0,31.471138,66.24838,564.8911
27.2,82.8,103.0,27.50038,83.537346,168.95381
29.4,77.3,355.0,29.282164,75.27858,384.43005
