Temperature,Humidity,Solar_Radiation,Temperature_Pred,Humidity_Pred,Solar_Radiation_Pred
27.5,77.2,0.0,27.390226,76.40664,0.0
27.8,77.0,0.0,27.881832,77.27678,0.0
26.9,76.3,279.0,26.816845,75.98937,263.50754
24.0,85.9,0.0,23.851772,86.33772,0.0
24.7,87.9,0.0,24.811388,88.25494,1.0518095
25.8,88.2,0.0,25.797312,88.038734,0.0
30.7,72.5,779.0,30.521866,71.75401,714.684
34.2,49.4,726.0,33.981644,50.413536,711.51935
26.9,79.7,0.0,26.813791,80.62045,0.0
30.2,65.2,814.0,29.728224,65.8654,768.95746
28.1,79.4,0.0,28.03858,79.900795,0.0
28.5,78.8,135.0,28.96074,78.21551,222.7981
28.5,80.4,0.0,28.71153,78.93016,0.5861391
26.6,82.9,0.0,26.449842,83.977196,0.0
27.5,81.2,0.0,27.801369,79.35847,0.0
28.8,80.1,0.0,28.72821,79.30325,0.5861391
29.1,75.8,0.0,28.998793,76.18473,5.8879437
27.6,76.4,0.0,27.47433,76.664185,0.0
27.3,78.9,0.0,27.20064,79.44378,0.42787257
28.7,75.4,0.0,28.620499,76.25315,0.25283352
29.8,71.8,723.0,30.02747,72.44724,664.7166
28.8,79.0,0.0,28.72821,79.23915,0.5861391
22.9,79.9,365.0,22.78896,79.96535,329.93915
33.0,60.5,675.0,33.184654,60.16417,706.0029
32.4,59.4,652.0,32.509247,58.579266,672.57336
29.5,73.6,473.0,29.77677,73.69892,394.22253
27.7,79.7,0.0,27.787024,79.82656,4.3157883
31.7,66.4,695.0,31.968588,66.85482,579.2116
29.7,64.3,487.0,29.689985,62.682476,484.70425
23.9,91.7,24.0,24.032173,91.7466,28.91535
25.9,87.5,0.0,26.024221,86.512955,0.9415715
32.1,69.1,782.0,32.09559,68.87922,760.11676
27.6,79.0,0.0,27.64306,79.61427,0.0
25.5,84.7,0.0,25.549608,84.62959,2.1121697
26.3,87.8,95.0,26.477427,87.622505,121.75371
27.7,79.4,0.0,27.968204,79.24776,0.0041573048
32.7,64.9,788.0,32.72656,65.28549,757.23883
24.2,90.5,7.0,24.180168,90.632805,40.27678
26.5,84.2,0.0,26.481464,84.23157,0.61112595
28.2,81.1,86.0,29.330141,77.32285,218.82893
28.0,70.8,819.0,28.378784,69.51985,812.1385
30.1,75.2,339.0,29.99801,73.801346,498.58072
26.9,79.1,0.0,26.717266,80.956764,0.555719
27.6,78.9,0.0,27.369509,80.46181,0.0
25.5,85.4,0.0,25.577368,85.28828,0.0
28.9,77.4,228.0,28.746908,78.493515,215.9916
33.2,58.4,786.0,32.85219,59.956562,797.7513
30.3,70.2,802.0,30.83307,69.22652,818.5792
31.3,67.1,807.0,30.95309,69.02182,816.14655
26.2,82.6,0.0,26.303808,82.52431,0.0
27.8,76.8,0.0,27.881832,77.13385,0.0
27.6,81.8,8.0,27.690405,81.44873,12.935205
31.8,68.1,483.0,31.996342,67.822845,505.42923
27.0,79.0,0.0,26.704514,80.246185,0.6457044
23.9,88.5,0.0,23.737818,88.284966,0.0
26.1,82.6,0.0,26.169378,82.56517,1.0866743
23.3,89.1,72.0,23.169107,88.836945,44.383026
31.7,66.8,313.0,31.792763,65.19801,328.69
23.0,89.2,5.0,23.22218,88.836945,40.25966
31.7,66.7,693.0,31.345488,69.634415,660.8647
25.6,84.6,0.0,26.028223,83.61413,0.9561877
28.7,74.7,0.0,28.694607,75.53066,0.5861391
29.6,73.4,496.0,29.818172,73.45975,477.40765
25.7,91.1,438.0,25.856258,89.94041,424.43127
30.3,72.1,249.0,30.096802,72.66535,217.59128
25.2,83.5,311.0,24.951382,83.81965,293.33902
29.5,74.5,24.0,29.559896,74.51667,38.203655
25.8,88.1,0.0,25.805777,88.038734,0.0
31.7,70.8,788.0,31.866062,69.06892,787.26666
28.8,75.6,0.0,28.609104,76.97996,0.25283352
29.3,73.1,163.0,29.292091,73.86212,149.22386
29.3,77.2,262.0,28.960026,78.23365,268.62924
27.1,80.7,0.0,26.847406,81.051674,1.5629824
31.6,71.9,453.0,31.789654,71.837006,434.27344
31.3,67.3,314.0,31.792763,64.805626,321.89697
32.4,66.9,656.0,32.30584,66.31695,670.05884
23.0,89.2,0.0,23.058575,88.852776,1.3346932
27.1,80.1,0.0,26.720215,81.0646,0.42787257
30.5,72.1,365.0,30.841238,71.83139,381.06247
29.5,76.2,137.0,28.73691,77.69227,177.60265
26.9,80.5,0.0,27.076374,79.91564,0.6791104
25.7,88.1,0.0,25.616398,87.93236,1.1093452
32.2,70.8,770.0,32.02439,68.665695,784.84753
29.3,73.8,0.0,29.506287,72.02413,6.1643987
26.8,80.9,0.0,27.169113,79.89606,0.0
28.6,75.3,43.0,28.368881,74.97075,67.62427
26.9,81.1,0.0,27.064556,80.54629,0.0
26.2,84.7,0.0,26.046673,84.830826,0.0
27.7,77.3,517.0,27.64431,76.85905,515.50366
28.3,77.3,0.0,28.253326,76.95962,16.799198
23.0,89.0,0.0,23.005503,88.852776,2.5479689
24.3,90.6,0.0,24.14005,90.6828,0.01320865
24.3,90.6,66.0,24.069292,90.71833,51.420574
24.2,92.2,66.0,24.295073,91.89354,92.287704
26.6,83.1,0.0,26.449842,83.977196,0.0
31.4,72.2,394.0,31.837147,69.72417,411.8133
28.3,76.0,24.0,28.3149,75.55404,32.144917
28.1,79.0,0.0,28.037682,79.39543,0.0
31.5,64.9,652.0,31.063465,65.49328,675.1578
26.9,76.0,267.0,27.262327,75.35068,170.94725
30.3,73.9,63.0,30.463675,74.3502,73.970474
28.2,81.6,0.0,28.412197,80.23879,0.0
28.8,78.1,0.0,28.71153,78.992905,0.5861391
26.3,82.8,0.0,26.523794,81.323875,1.0866743
30.9,62.4,153.0,30.973524,62.898495,179.91321
31.9,68.1,723.0,31.701885,69.228935,771.14606
27.5,74.3,0.0,27.355871,76.230446,0.0
31.9,62.2,624.0,31.909216,59.63819,621.598
23.5,88.0,0.0,23.447405,87.93308,0.16378555
28.5,73.1,0.0,28.168589,75.03347,0.5467402
27.6,81.3,1.0,27.767002,80.94272,0.40724933
28.5,77.3,563.0,28.526918,77.15831,550.0345
34.3,46.2,746.0,34.038456,49.727043,723.8645
28.1,73.8,0.0,28.062841,74.2864,0.5467402
23.6,87.9,0.0,23.460325,88.14408,0.0
25.8,88.4,0.0,25.697025,88.51923,0.0
28.7,79.3,409.0,28.611555,79.77364,271.7779
27.9,79.8,0.0,27.961594,80.12625,0.0
33.0,61.1,797.0,33.49492,57.32117,780.0094
31.0,62.8,336.0,31.358107,61.628593,317.1593
29.7,74.1,123.0,30.035688,73.05407,124.664085
26.7,82.9,0.0,26.808979,83.376144,0.0
31.3,70.3,709.0,30.931534,70.74792,529.8152
27.1,78.2,0.0,27.020964,79.23098,0.555719
29.6,65.1,832.0,29.638233,65.7399,758.6218
31.3,68.0,832.0,31.346119,68.3469,714.7891
32.7,63.2,749.0,32.64223,62.027824,749.04333
28.8,79.7,0.0,28.755396,79.3704,0.5861391
30.9,70.1,636.0,31.097631,69.9648,450.1758
31.2,62.4,573.0,31.55632,63.744217,574.0122
34.6,61.5,654.0,33.806847,61.95103,678.93756
29.6,73.3,40.0,29.582605,74.46147,43.33428
27.4,81.0,0.0,27.395555,81.69519,0.4790937
