Temperature,Humidity,Solar_Radiation,Temperature_Pred,Humidity_Pred,Solar_Radiation_Pred
29.9,73.5,552.0,29.771751,75.31524,539.0734
24.8,87.8,0.0,24.950794,87.54765,0.0
25.3,86.2,0.0,25.105333,86.82412,0.0
31.8,67.7,578.0,31.663332,68.4426,617.0366
30.0,74.2,527.0,29.9915,73.19539,461.8781
28.8,76.6,0.0,28.793867,76.05886,16.028482
23.1,88.3,0.0,23.093864,88.782524,0.57667476
29.6,75.2,87.0,29.845957,73.942696,113.456436
30.1,68.3,568.0,30.165892,67.94559,581.9134
26.3,82.5,0.0,26.3284,82.67409,1.2169201
29.0,74.7,15.0,28.88771,75.56076,13.941454
34.4,48.7,786.0,33.949993,52.91228,781.2229
26.4,83.5,0.0,26.193693,82.654396,0.0
31.4,66.1,689.0,31.658138,65.47984,690.9855
25.4,85.0,0.0,25.422825,85.33766,0.124547645
28.1,78.2,0.0,28.237722,78.05564,0.0
30.9,73.3,297.0,31.03719,73.249435,325.53857
26.4,80.4,408.0,26.382093,80.24083,411.76978
30.0,70.8,786.0,30.361923,70.77205,778.87054
34.3,45.9,749.0,33.90233,49.112316,720.9775
29.4,73.2,302.0,29.568432,72.81425,392.97702
32.2,67.8,462.0,32.051914,69.202286,499.39673
26.9,82.7,0.0,26.977888,81.93082,5.2130485
30.7,69.9,679.0,29.915953,72.35225,609.6879
30.1,72.0,811.0,30.536642,71.10833,804.8614
31.9,61.6,767.0,31.763128,62.693695,758.1872
26.7,77.1,0.0,26.9834,77.215996,0.0
32.3,66.1,663.0,32.262512,65.44093,661.5498
26.3,81.4,12.0,26.331728,80.44629,0.0
24.4,92.4,154.0,24.341068,92.23696,133.98245
31.9,60.5,643.0,32.23751,60.27371,619.77277
30.9,69.0,809.0,30.535763,70.1561,777.69183
28.3,79.0,0.0,28.834839,75.582436,1.2489955
26.3,83.2,0.0,26.165257,83.41876,0.38279635
23.4,88.0,0.0,23.393288,88.35857,0.0
28.0,78.3,0.0,28.325783,76.803505,0.0
26.7,76.7,0.0,26.710735,78.59687,0.0
25.9,88.7,52.0,25.720934,88.42206,45.599915
32.1,66.8,744.0,32.72206,64.85208,744.7118
27.0,79.7,0.0,26.978848,80.16998,0.10013327
32.1,68.4,205.0,31.771051,70.03201,187.02644
28.2,72.6,550.0,27.77189,75.89281,531.1954
29.4,75.0,663.0,29.08336,75.93444,337.71286
25.0,87.3,0.0,24.987047,87.54765,0.0
24.5,85.7,234.0,24.640205,85.61543,223.41748
27.6,80.3,0.0,27.58775,79.63835,0.01815186
26.3,79.1,105.0,26.360937,81.51532,56.948837
27.0,83.0,0.0,27.221033,81.36571,0.0
25.8,88.1,0.0,25.849596,87.25648,0.78651685
27.4,80.4,0.0,26.86185,82.521935,0.0
29.2,72.2,0.0,28.904562,74.80924,2.3308136
